Origin,Destination,Distance,Duration,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude,Origin_Address,Destination_Address
Bhavnagar,Rajkot,174 km,3 hours 50 mins,21.7644725,72.15193040000001,22.3038945,70.80215989999999,"Bhavnagar, Gujarat, India","Rajkot, Gujarat, India"
Rajkot,Bhuj,231 km,4 hours 42 mins,22.3038945,70.80215989999999,23.2419997,69.6669324,"Rajkot, Gujarat, India","Bhuj, Gujarat, India"
Bhuj,Narayan Sarovar,152 km,3 hours 13 mins,23.2419997,69.6669324,23.6758205,68.5393692,"Bhuj, Gujarat, India","Narayan Sarovar, Gujarat 370601, India"
Narayan Sarovar,Dhordo,113 km,2 hours 20 mins,23.6758205,68.5393692,23.7872556,69.512717,"Narayan Sarovar, Gujarat 370601, India","Dhordo, Gujarat 370510, India"
Dhordo,Dholavira,88.0 km,1 hour 43 mins,23.7872556,69.512717,23.8808877,70.2140444,"Dhordo, Gujarat 370510, India","Dholavira, Gujarat 370165, India"
Dholavira,Palanpur,279 km,5 hours 22 mins,23.8808877,70.2140444,24.1724338,72.434581,"Dholavira, Gujarat 370165, India","Palanpur, Gujarat 385001, India"
Palanpur,Udaipur,203 km,3 hours 33 mins,24.1724338,72.434581,24.585445,73.712479,"Palanpur, Gujarat 385001, India","Udaipur, Rajasthan, India"
Udaipur,Ajmer,265 km,4 hours 49 mins,24.585445,73.712479,26.4498954,74.6399163,"Udaipur, Rajasthan, India","Ajmer, Rajasthan, India"
Ajmer,Jaipur,131 km,2 hours 40 mins,26.4498954,74.6399163,26.9124336,75.7872709,"Ajmer, Rajasthan, India","Jaipur, Rajasthan, India"
Jaipur,Delhi,296 km,4 hours 41 mins,26.9124336,75.7872709,28.6139298,77.2088282,"Jaipur, Rajasthan, India","New Delhi, Delhi, India"
Delhi,Haridwar,223 km,3 hours 44 mins,28.6139298,77.2088282,29.9456906,78.16424780000001,"New Delhi, Delhi, India","Haridwar, Uttarakhand, India"
